id,price,year,manufacturer,condition,fuel,odometer
220,18495,2017,volkswagen,excellent,gas,43406
221,46741,2012,ram,like new,gas,30716
222,2300,2002,honda,good,gas,170000
223,19946,2015,ram,excellent,gas,123339
224,37990,2016,toyota,good,gas,22870
225,36590,2019,tesla,good,electric,23057
226,32990,2016,jeep,good,gas,42344
227,39990,2019,nissan,good,gas,8373
228,17958,2015,dodge,excellent,gas,86410
229,4995,2001,bmw,excellent,gas,206665
230,2967,2004,pontiac,excellent,gas,192605
231,2000,2008,mazda,good,gas,139460
232,17907,2015,ram,excellent,diesel,112908
233,4000,2004,mercedes-benz,good,gas,121400
234,6300,2015,chrysler,good,gas,169000
235,77261,2020,gmc,excellent,diesel,1800
236,4500,2008,ram,good,gas,212800
237,25232,2016,ford,excellent,gas,118154
238,2500,1999,ford,fair,gas,115000
239,35990,2020,dodge,good,gas,1548
240,19861,2013,bmw,excellent,gas,52040
241,7266,2012,gmc,excellent,gas,153553
242,29990,2019,chevrolet,good,gas,6727
243,13307,2016,chevrolet,excellent,gas,110284
244,13500,2014,audi,excellent,gas,120008
245,7500,2012,volkswagen,excellent,gas,102000
246,18000,1996,ford,excellent,diesel,188000
247,27408,2016,ram,excellent,gas,67331
248,5000,2007,ford,excellent,gas,85000
249,26701,2013,ford,excellent,gas,54265
250,24698,2015,ram,excellent,diesel,84279
251,31399,2018,ram,excellent,gas,30500
252,26590,2020,honda,good,gas,9954
253,18750,2014,mercedes-benz,excellent,diesel,112000
254,22903,2013,ford,excellent,gas,89198
255,27990,2020,honda,good,gas,7209
256,19590,2018,honda,good,gas,35931
257,19990,2019,honda,good,gas,18806
258,29590,2017,ford,good,gas,70760
259,43995,2018,gmc,excellent,gas,34056
260,55500,2017,ford,like new,gas,4500
261,2300,2004,pontiac,good,gas,173000
262,3490,2010,hyundai,excellent,gas,220000
263,12995,2017,chevrolet,excellent,gas,107923
264,22381,2017,gmc,excellent,gas,123214
265,18587,2010,ram,excellent,gas,100156
266,17982,2019,chevrolet,like new,gas,43769
267,10781,2013,ford,like new,gas,92948
268,13329,2010,dodge,excellent,gas,93024
269,23995,2017,buick,excellent,gas,33580
270,16941,2020,hyundai,like new,gas,23505
271,27841,2017,lincoln,like new,gas,23798
272,21990,2011,ford,good,gas,32652
273,13995,2016,honda,like new,gas,98156
274,26990,2016,mazda,good,gas,7512
275,15495,2018,chevrolet,excellent,gas,27317
276,20995,2018,volkswagen,excellent,gas,41262
277,5500,2009,subaru,excellent,gas,142000
278,29433,2018,gmc,excellent,gas,9207
279,13851,2013,infiniti,excellent,gas,104831
280,20590,2013,infiniti,good,gas,57181
281,17144,2009,ford,excellent,gas,63349
282,15995,2019,chevrolet,excellent,gas,14812
283,11000,2016,ford,excellent,gas,32000
284,2791,1998,buick,excellent,gas,124000
285,4750,2005,honda,good,gas,184000
286,12925,2013,lincoln,excellent,gas,117779
287,22490,2017,nissan,excellent,gas,26259
288,11500,2017,chevrolet,excellent,gas,75000
289,33987,2018,dodge,like new,gas,18591
290,23841,2019,acura,like new,gas,28395
291,17853,2018,nissan,excellent,gas,87197
292,9500,1989,pontiac,excellent,gas,127400
293,29590,2015,bmw,good,diesel,30179
294,52000,2020,ford,like new,gas,26000
295,19995,2019,buick,excellent,gas,23318
296,2200,2003,cadillac,fair,gas,147085
297,30800,2020,jeep,like new,gas,24000
298,7521,2012,chrysler,excellent,gas,160771
299,33590,2013,lexus,good,gas,33570
300,30000,2014,ford,excellent,gas,132000
301,19995,2017,volkswagen,excellent,gas,54701
302,29590,2014,lexus,good,gas,60820
303,19590,2017,acura,good,diesel,29014
304,13173,2017,ford,excellent,gas,106730
305,25990,2016,bmw,good,gas,45611
306,11995,2015,kia,excellent,gas,100016
307,22711,2018,chevrolet,excellent,gas,35048
308,23359,2017,dodge,excellent,gas,44003
309,18000,2011,gmc,good,hybrid,121000
310,15683,2012,acura,excellent,gas,104335
311,14156,2013,lincoln,excellent,gas,108740
312,17500,2016,honda,excellent,gas,45000
313,6997,2009,gmc,excellent,gas,138161
314,21420,2017,gmc,excellent,gas,107451
315,10806,2013,ford,excellent,gas,57048
316,3700,2010,ford,excellent,gas,135000
317,16544,2014,honda,excellent,gas,98816
318,23990,2014,acura,good,gas,62390
319,26338,2015,ford,excellent,gas,112419
320,39590,2019,acura,good,gas,8919
321,20995,2019,gmc,excellent,gas,33973
322,29874,2016,ram,excellent,diesel,71123
323,10470,2013,ford,excellent,gas,86617
324,20695,2013,ram,excellent,gas,103226
325,18469,2013,cadillac,excellent,gas,47187
326,16590,2016,hyundai,good,gas,39763
327,23995,2018,buick,excellent,gas,43323
328,18995,2018,buick,excellent,gas,22906
329,21590,2017,jaguar,good,gas,46661
330,14725,2013,cadillac,excellent,gas,96181
331,36990,2020,cadillac,good,gas,2120
332,11552,2012,ford,excellent,gas,193313
333,10900,2012,chevrolet,excellent,gas,221248
334,10900,2011,chevrolet,excellent,gas,104200
335,27482,2015,ram,excellent,gas,112734
336,9000,2008,ram,good,gas,198000
337,3530,2007,dodge,excellent,gas,178020
338,31990,2018,audi,good,gas,19179
339,35990,2018,audi,good,gas,29157
340,15834,2013,dodge,excellent,gas,127494
341,43990,2020,jaguar,good,gas,8157
342,12181,2013,ford,excellent,gas,192842
343,12787,2013,ford,excellent,gas,111244
344,14618,2013,ford,excellent,gas,126599
345,22747,2012,jeep,excellent,gas,102346
346,8312,2011,jeep,excellent,gas,66250
347,43995,2018,dodge,excellent,gas,21073
348,22000,2015,subaru,excellent,gas,39000
349,36590,2019,gmc,good,gas,14222
350,16608,2015,lincoln,excellent,gas,94799
351,8591,2011,acura,excellent,gas,213067
352,35590,2011,dodge,good,gas,16796
353,4616,2003,chevrolet,excellent,gas,120243
354,17981,2009,ford,excellent,gas,67586
355,24590,2016,chevrolet,good,gas,100851
356,15520,2015,lincoln,excellent,gas,110249
357,19900,1990,mercedes-benz,excellent,gas,46600
358,14900,2015,jeep,excellent,gas,94712
359,14993,2008,chevrolet,excellent,gas,94144
360,22900,2017,ford,like new,gas,39665
361,5811,2008,jeep,excellent,gas,166849
362,2600,1994,chevrolet,fair,gas,220000
363,51990,2020,jeep,good,gas,11100
364,25990,2017,toyota,good,gas,22820
365,23990,2017,toyota,good,gas,53783
366,48990,2018,jeep,good,gas,6093
367,3354,2009,ford,excellent,gas,187364
368,38990,2017,jeep,good,gas,20676
369,18750,2005,pontiac,good,gas,65000
370,17500,2017,ford,excellent,gas,52000
371,18280,2012,nissan,excellent,gas,86228
